maturity,strike,price,type,ttm,rate
2025-05-30,120.0,16.75,call,0.024640657084188913,0.044612580678258955
2025-05-30,121.0,15.85,call,0.024640657084188913,0.044612580678258955
2025-05-30,125.0,12.7,call,0.024640657084188913,0.044612580678258955
2025-05-30,127.0,11.1,call,0.024640657084188913,0.044612580678258955
2025-05-30,130.0,9.16,call,0.024640657084188913,0.044612580678258955
2025-05-30,131.0,8.53,call,0.024640657084188913,0.044612580678258955
2025-05-30,132.0,7.98,call,0.024640657084188913,0.044612580678258955
2025-05-30,133.0,7.4,call,0.024640657084188913,0.044612580678258955
2025-05-30,134.0,6.89,call,0.024640657084188913,0.044612580678258955
2025-05-30,135.0,6.35,call,0.024640657084188913,0.044612580678258955
2025-05-30,136.0,5.95,call,0.024640657084188913,0.044612580678258955
2025-05-30,137.0,5.38,call,0.024640657084188913,0.044612580678258955
2025-05-30,138.0,5.0,call,0.024640657084188913,0.044612580678258955
2025-05-30,139.0,4.55,call,0.024640657084188913,0.044612580678258955
2025-05-30,140.0,4.2,call,0.024640657084188913,0.044612580678258955
2025-05-30,141.0,3.75,call,0.024640657084188913,0.044612580678258955
2025-05-30,142.0,3.49,call,0.024640657084188913,0.044612580678258955
2025-05-30,143.0,3.17,call,0.024640657084188913,0.044612580678258955
2025-05-30,144.0,2.89,call,0.024640657084188913,0.044612580678258955
2025-05-30,145.0,2.63,call,0.024640657084188913,0.044612580678258955
2025-05-30,146.0,2.38,call,0.024640657084188913,0.044612580678258955
2025-05-30,147.0,2.14,call,0.024640657084188913,0.044612580678258955
2025-05-30,148.0,1.9,call,0.024640657084188913,0.044612580678258955
2025-05-30,149.0,1.76,call,0.024640657084188913,0.044612580678258955
2025-05-30,110.0,0.3,put,0.024640657084188913,0.044612580678258955
2025-05-30,115.0,0.53,put,0.024640657084188913,0.044612580678258955
2025-05-30,116.0,0.6,put,0.024640657084188913,0.044612580678258955
2025-05-30,117.0,0.69,put,0.024640657084188913,0.044612580678258955
2025-05-30,119.0,0.91,put,0.024640657084188913,0.044612580678258955
2025-05-30,120.0,1.02,put,0.024640657084188913,0.044612580678258955
2025-05-30,121.0,1.17,put,0.024640657084188913,0.044612580678258955
2025-05-30,122.0,1.33,put,0.024640657084188913,0.044612580678258955
2025-05-30,123.0,1.5,put,0.024640657084188913,0.044612580678258955
2025-05-30,124.0,1.75,put,0.024640657084188913,0.044612580678258955
2025-05-30,125.0,1.93,put,0.024640657084188913,0.044612580678258955
2025-05-30,126.0,2.19,put,0.024640657084188913,0.044612580678258955
2025-05-30,127.0,2.5,put,0.024640657084188913,0.044612580678258955
2025-05-30,128.0,2.78,put,0.024640657084188913,0.044612580678258955
2025-05-30,129.0,3.05,put,0.024640657084188913,0.044612580678258955
2025-05-30,130.0,3.45,put,0.024640657084188913,0.044612580678258955
2025-05-30,131.0,3.9,put,0.024640657084188913,0.044612580678258955
2025-05-30,132.0,4.27,put,0.024640657084188913,0.044612580678258955
2025-05-30,133.0,4.7,put,0.024640657084188913,0.044612580678258955
2025-05-30,134.0,5.17,put,0.024640657084188913,0.044612580678258955
2025-05-30,135.0,5.56,put,0.024640657084188913,0.044612580678258955
2025-05-30,136.0,6.15,put,0.024640657084188913,0.044612580678258955
2025-05-30,137.0,6.7,put,0.024640657084188913,0.044612580678258955
2025-05-30,140.0,8.55,put,0.024640657084188913,0.044612580678258955
2025-06-06,120.0,17.07,call,0.04380561259411362,0.04451099684583996
2025-06-06,125.0,13.35,call,0.04380561259411362,0.04451099684583996
2025-06-06,130.0,10.05,call,0.04380561259411362,0.04451099684583996
2025-06-06,131.0,9.4,call,0.04380561259411362,0.04451099684583996
2025-06-06,133.0,8.22,call,0.04380561259411362,0.04451099684583996
2025-06-06,134.0,7.75,call,0.04380561259411362,0.04451099684583996
2025-06-06,135.0,7.2,call,0.04380561259411362,0.04451099684583996
2025-06-06,136.0,6.72,call,0.04380561259411362,0.04451099684583996
2025-06-06,137.0,6.23,call,0.04380561259411362,0.04451099684583996
2025-06-06,138.0,5.77,call,0.04380561259411362,0.04451099684583996
2025-06-06,140.0,5.0,call,0.04380561259411362,0.04451099684583996
2025-06-06,143.0,3.95,call,0.04380561259411362,0.04451099684583996
2025-06-06,145.0,3.35,call,0.04380561259411362,0.04451099684583996
2025-06-06,110.0,0.56,put,0.04380561259411362,0.04451099684583996
2025-06-06,115.0,0.9,put,0.04380561259411362,0.04451099684583996
2025-06-06,120.0,1.53,put,0.04380561259411362,0.04451099684583996
2025-06-06,125.0,2.58,put,0.04380561259411362,0.04451099684583996
2025-06-06,130.0,4.19,put,0.04380561259411362,0.04451099684583996
2025-06-06,132.0,5.0,put,0.04380561259411362,0.04451099684583996
2025-06-06,135.0,6.35,put,0.04380561259411362,0.04451099684583996
2025-06-13,135.0,7.95,call,0.06297056810403832,0.04441091278115552
2025-06-13,136.0,7.45,call,0.06297056810403832,0.04441091278115552
2025-06-13,140.0,5.6,call,0.06297056810403832,0.04441091278115552
2025-06-13,145.0,3.84,call,0.06297056810403832,0.04441091278115552
2025-06-13,110.0,0.82,put,0.06297056810403832,0.04441091278115552
2025-06-13,120.0,2.0,put,0.06297056810403832,0.04441091278115552
2025-06-13,130.0,4.87,put,0.06297056810403832,0.04441091278115552
2025-06-20,109.0,27.91,call,0.08213552361396304,0.044312311677191914
2025-06-20,110.0,26.85,call,0.08213552361396304,0.044312311677191914
2025-06-20,114.0,23.1,call,0.08213552361396304,0.044312311677191914
2025-06-20,115.0,22.5,call,0.08213552361396304,0.044312311677191914
2025-06-20,118.0,19.66,call,0.08213552361396304,0.044312311677191914
2025-06-20,120.0,18.32,call,0.08213552361396304,0.044312311677191914
2025-06-20,125.0,14.53,call,0.08213552361396304,0.044312311677191914
2025-06-20,129.0,11.8,call,0.08213552361396304,0.044312311677191914
2025-06-20,130.0,11.25,call,0.08213552361396304,0.044312311677191914
2025-06-20,132.0,10.04,call,0.08213552361396304,0.044312311677191914
2025-06-20,134.0,8.95,call,0.08213552361396304,0.044312311677191914
2025-06-20,135.0,8.4,call,0.08213552361396304,0.044312311677191914
2025-06-20,136.0,7.94,call,0.08213552361396304,0.044312311677191914
2025-06-20,137.0,7.45,call,0.08213552361396304,0.044312311677191914
2025-06-20,138.0,6.95,call,0.08213552361396304,0.044312311677191914
2025-06-20,140.0,6.2,call,0.08213552361396304,0.044312311677191914
2025-06-20,141.0,5.65,call,0.08213552361396304,0.044312311677191914
2025-06-20,142.0,5.35,call,0.08213552361396304,0.044312311677191914
2025-06-20,144.0,4.6,call,0.08213552361396304,0.044312311677191914
2025-06-20,145.0,4.39,call,0.08213552361396304,0.044312311677191914
2025-06-20,147.0,3.77,call,0.08213552361396304,0.044312311677191914
2025-06-20,110.0,1.04,put,0.08213552361396304,0.044312311677191914
2025-06-20,112.0,1.25,put,0.08213552361396304,0.044312311677191914
2025-06-20,115.0,1.55,put,0.08213552361396304,0.044312311677191914
2025-06-20,119.0,2.18,put,0.08213552361396304,0.044312311677191914
2025-06-20,120.0,2.37,put,0.08213552361396304,0.044312311677191914
2025-06-20,122.0,2.81,put,0.08213552361396304,0.044312311677191914
2025-06-20,123.0,3.1,put,0.08213552361396304,0.044312311677191914
2025-06-20,125.0,3.55,put,0.08213552361396304,0.044312311677191914
2025-06-20,129.0,4.9,put,0.08213552361396304,0.044312311677191914
2025-06-20,130.0,5.25,put,0.08213552361396304,0.044312311677191914
2025-06-20,132.0,6.05,put,0.08213552361396304,0.044312311677191914
2025-06-20,135.0,7.4,put,0.08213552361396304,0.044312311677191914
2025-06-20,136.0,7.92,put,0.08213552361396304,0.044312311677191914
2025-06-20,137.0,8.4,put,0.08213552361396304,0.044312311677191914
2025-06-20,140.0,10.17,put,0.08213552361396304,0.044312311677191914
2025-06-20,145.0,13.4,put,0.08213552361396304,0.044312311677191914
2025-06-27,135.0,9.1,call,0.10130047912388775,0.04421517690170475
2025-06-27,136.0,8.6,call,0.10130047912388775,0.04421517690170475
2025-06-27,140.0,6.8,call,0.10130047912388775,0.04421517690170475
2025-06-27,109.0,1.17,put,0.10130047912388775,0.04421517690170475
2025-06-27,120.0,2.7,put,0.10130047912388775,0.04421517690170475
2025-06-27,130.0,5.7,put,0.10130047912388775,0.04421517690170475
2025-07-18,115.0,23.87,call,0.15879534565366188,0.04393240680835306
2025-07-18,120.0,20.24,call,0.15879534565366188,0.04393240680835306
2025-07-18,125.0,16.67,call,0.15879534565366188,0.04393240680835306
2025-07-18,130.0,13.5,call,0.15879534565366188,0.04393240680835306
2025-07-18,135.0,10.76,call,0.15879534565366188,0.04393240680835306
2025-07-18,140.0,8.45,call,0.15879534565366188,0.04393240680835306
2025-07-18,145.0,6.49,call,0.15879534565366188,0.04393240680835306
2025-07-18,110.0,1.9,put,0.15879534565366188,0.04393240680835306
2025-07-18,115.0,2.7,put,0.15879534565366188,0.04393240680835306
2025-07-18,120.0,3.75,put,0.15879534565366188,0.04393240680835306
2025-07-18,125.0,5.2,put,0.15879534565366188,0.04393240680835306
2025-07-18,130.0,7.0,put,0.15879534565366188,0.04393240680835306
2025-07-18,135.0,9.3,put,0.15879534565366188,0.04393240680835306
2025-07-18,140.0,12.15,put,0.15879534565366188,0.04393240680835306
2025-08-15,115.0,25.55,call,0.23545516769336072,0.04357492945844472
2025-08-15,120.0,21.94,call,0.23545516769336072,0.04357492945844472
2025-08-15,125.0,18.71,call,0.23545516769336072,0.04357492945844472
2025-08-15,130.0,15.6,call,0.23545516769336072,0.04357492945844472
2025-08-15,135.0,12.93,call,0.23545516769336072,0.04357492945844472
2025-08-15,140.0,10.53,call,0.23545516769336072,0.04357492945844472
2025-08-15,145.0,8.54,call,0.23545516769336072,0.04357492945844472
2025-08-15,110.0,2.97,put,0.23545516769336072,0.04357492945844472
2025-08-15,115.0,3.96,put,0.23545516769336072,0.04357492945844472
2025-08-15,120.0,5.25,put,0.23545516769336072,0.04357492945844472
2025-08-15,125.0,6.76,put,0.23545516769336072,0.04357492945844472
2025-08-15,130.0,8.71,put,0.23545516769336072,0.04357492945844472
2025-08-15,135.0,11.03,put,0.23545516769336072,0.04357492945844472
2025-08-15,140.0,13.7,put,0.23545516769336072,0.04357492945844472
2025-09-19,122.0,23.2,call,0.33127994524298426,0.04315811008944109
2025-09-19,130.0,18.56,call,0.33127994524298426,0.04315811008944109
2025-09-19,135.0,16.0,call,0.33127994524298426,0.04315811008944109
2025-09-19,140.0,13.7,call,0.33127994524298426,0.04315811008944109
2025-09-19,145.0,11.5,call,0.33127994524298426,0.04315811008944109
2025-09-19,130.0,11.15,put,0.33127994524298426,0.04315811008944109
2025-09-19,140.0,16.15,put,0.33127994524298426,0.04315811008944109
2025-10-17,130.0,20.1,call,0.4079397672826831,0.042847520034404236
2025-10-17,135.0,17.56,call,0.4079397672826831,0.042847520034404236
2025-10-17,140.0,15.09,call,0.4079397672826831,0.042847520034404236
2025-10-17,110.0,5.36,put,0.4079397672826831,0.042847520034404236
2025-10-17,135.0,14.63,put,0.4079397672826831,0.042847520034404236
2025-11-21,120.0,9.76,put,0.5037645448323066,0.042486379379006727
2025-12-19,130.0,23.65,call,0.5804243668720055,0.04221809235203294
2025-12-19,140.0,19.0,call,0.5804243668720055,0.04221809235203294
2026-01-16,120.0,30.4,call,0.6570841889117043,0.04196724492220729
2026-01-16,125.0,27.45,call,0.6570841889117043,0.04196724492220729
2026-01-16,130.0,24.95,call,0.6570841889117043,0.04196724492220729
2026-01-16,140.0,20.1,call,0.6570841889117043,0.04196724492220729
2026-01-16,145.0,18.14,call,0.6570841889117043,0.04196724492220729
2026-01-16,135.0,18.2,put,0.6570841889117043,0.04196724492220729
2026-03-20,135.0,25.5,call,0.8295687885010267,0.041462566883623785
2026-06-18,125.0,33.7,call,1.0759753593429158,0.040871430140081225
2026-06-18,140.0,25.3,put,1.0759753593429158,0.040871430140081225
2026-12-18,124.0,20.95,put,1.5770020533880904,0.040060349146301556
2027-01-15,135.0,36.09,call,1.6536618754277892,0.03997508631373643
2027-06-17,135.0,40.55,call,2.0725530458590007,0.039656041408066604
