maturity,yield
0.08333333333333333,0.0437
0.16666666666666666,0.0435
0.25,0.043899999999999995
0.5,0.0432
1.0,0.0412
2.0,0.0397
3.0,0.0395
5.0,0.0407
7.0,0.0426
10.0,0.0446
20.0,0.0495
30.0,0.0492
